2026-06-19 22:01:13 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:01:15 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:02:48 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:02:52 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:06:46 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:06:47 - getLoggedUser - User 1, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:07:39 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:08:59 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:10:45 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:10:50 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:10:52 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:12:34 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:12:38 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:12:42 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:12:57 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:13:06 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:13:28 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:13:36 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:13:38 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:13:39 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:14:27 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:14:44 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:15:04 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:15:09 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:15:45 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:18:08 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:18:09 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:18:28 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:18:29 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:18:32 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:21:09 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:21:37 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:21:48 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:21:57 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:21:58 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:01 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:07 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:10 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:14 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:23 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:22:36 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:26:08 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:26:23 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:26:24 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:26:54 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:26:57 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
2026-06-19 22:28:32 - getLoggedUser - User 2, id_warehouse_admin: 0, calculated warehouse_office_id: 0
